,,,,,,,,,,,,Lunar position,Lunar position,Lunar position,Lunar position,Lunar position,Lunar position,Surface Normalised,Surface Normalised,Surface Normalised,Seabed Normalised,Seabed Normalised,Seabed Normalised,Surface,Surface,Surface,Seabed,Seabed,Seabed,Residuals,Residuals,Residuals
,Location_Lat (deg),Location_Long (deg),time_increment (m),depth_to_datum(m),modelled_tidal_range (m),date,Jday (decimal),Kd Blue,Kd Green,Kd Red,Kd Bb,Lunar_Alt (deg),Lunar_Az (deg),phase,I_atmos,BB_I(uW/m2),BB_I_Below_tide(uW/m2),Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue
0,50.3819,-4.1927,0.25,3.2675451806267266,[4.82754518],2021-07-18 00:00:00+00:00,199.0,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-2.033557428022454,256.0557826971421,0.5666662611774429,[140.51973201],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50.3819,-4.1927,0.25,3.168239200471677,[4.7282392],2021-07-18 00:15:00+00:00,199.01041666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-4.332756149882207,258.7907657954582,0.5678488362964387,[141.08098581],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,50.3819,-4.1927,0.25,3.0482324062662136,[4.60823241],2021-07-18 00:30:00+00:00,199.02083333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-6.651341591421144,261.5134048884215,0.5690312353095963,[141.64373013],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,50.3819,-4.1927,0.25,2.9099017060738235,[4.46990171],2021-07-18 00:45:00+00:00,199.03125,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-8.984158291319106,264.23236473634677,0.5702134510507783,[142.20796793],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,50.3819,-4.1927,0.25,2.7563146247399337,[4.31631462],2021-07-18 01:00:00+00:00,199.04166666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-11.326106285347551,266.95657429131614,0.5713954763778429,[142.77370222],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,50.3819,-4.1927,0.25,2.590758152591681,[4.15075815],2021-07-18 01:15:00+00:00,199.05208333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-13.672086383310825,269.69527574773355,0.5725773041004301,[143.34093598],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,50.3819,-4.1927,0.25,2.416293681149516,[3.97629368],2021-07-18 01:30:00+00:00,199.0625,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-16.016941846360258,272.45808127417166,0.573758927061706,[143.90967226],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,50.3819,-4.1927,0.25,2.235443914536024,[3.79544391],2021-07-18 01:45:00+00:00,199.07291666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.355395948006915,275.255035228476,0.574940338068618,[144.47991408],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,50.3819,-4.1927,0.25,2.0500805367039376,[3.61008054],2021-07-18 02:00:00+00:00,199.08333333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-20.681984790176987,278.0966790835863,0.5761215299210335,[145.0516645],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,50.3819,-4.1927,0.25,1.8615289708948337,[3.42152897],2021-07-18 02:15:00+00:00,199.09375,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-22.99098473321147,280.99411544014293,0.5773024954423592,[145.62492661],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,50.3819,-4.1927,0.25,1.6708519447312264,[3.23085194],2021-07-18 02:30:00+00:00,199.10416666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-25.27633387132291,283.9590661184569,0.5784832274187373,[146.1997035],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,50.3819,-4.1927,0.25,1.479230139159478,[3.03923014],2021-07-18 02:45:00+00:00,199.11458333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-27.531547189080186,287.00391727666306,0.5796637186304031,[146.77599827],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,50.3819,-4.1927,0.25,1.2883362523417863,[2.84833625],2021-07-18 03:00:00+00:00,199.125,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-29.749625460975093,290.14174173705163,0.5808439618809473,[147.35381407],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,50.3819,-4.1927,0.25,1.1006030584580135,[2.66060306],2021-07-18 03:15:00+00:00,199.13541666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-31.922958667992834,293.38628498102526,0.5820239499272374,[147.93315403],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,50.3819,-4.1927,0.25,0.9193146263734646,[2.47931463],2021-07-18 03:30:00+00:00,199.14583333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-34.043225823697966,296.7518964951084,0.5832036755600787,[148.51402132],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,50.3819,-4.1927,0.25,0.7484949454869341,[2.30849495],2021-07-18 03:45:00+00:00,199.15625,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-36.101294811530785,300.2533825623865,0.5843831315332252,[149.09641914],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,50.3819,-4.1927,0.25,0.5926179974462142,[2.152618],2021-07-18 04:00:00+00:00,199.16666666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-38.087128241759395,303.90575036265966,0.5855623105947808,[149.68035069],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,50.3819,-4.1927,0.25,0.4562052336861089,[2.01620523],2021-07-18 04:15:00+00:00,199.17708333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-39.989704639017255,307.72380766049264,0.5867412055161553,[150.26581919],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,50.3819,-4.1927,0.25,0.3434001628767209,[1.90340016],2021-07-18 04:30:00+00:00,199.1875,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-41.79696847240594,311.72157925994946,0.5879198090228059,[150.85282788],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,50.3819,-4.1927,0.25,0.25760994896721723,[1.81760995],2021-07-18 04:45:00+00:00,199.19791666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-43.49582745547686,315.91150410871535,0.5890981138735245,[151.44138003],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,50.3819,-4.1927,0.25,0.20128133997777686,[1.76128134],2021-07-18 05:00:00+00:00,199.20833333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-45.07222056268279,320.30339045748195,0.5902761127921496,[152.03147893],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,50.3819,-4.1927,0.25,0.1758395492781668,[1.73583955],2021-07-18 05:15:00+00:00,199.21875,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-46.511283994355246,324.90313638265525,0.5914537984944161,[152.62312787],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,50.3819,-4.1927,0.25,0.1817745788171321,[1.74177458],2021-07-18 05:30:00+00:00,199.22916666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-47.79764274266389,329.71127461974413,0.5926311637220316,[153.21633018],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,50.3819,-4.1927,0.25,0.21882182405621187,[1.77882182],2021-07-18 05:45:00+00:00,199.23958333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-48.91584951832755,334.7214744128193,0.5938082011792678,[153.8110892],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,50.3819,-4.1927,0.25,0.2861626521277829,[1.84616265],2021-07-18 06:00:00+00:00,199.25,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-49.85097760689161,339.91921950227663,0.5949849035654127,[154.4074083],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,50.3819,-4.1927,0.25,0.38257149276570157,[1.94257149],2021-07-18 06:15:00+00:00,199.26041666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-50.589348205460425,345.2809561945222,0.5961612636032851,[155.00529086],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,50.3819,-4.1927,0.25,0.5064583875050834,[2.06645839],2021-07-18 06:30:00+00:00,199.27083333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-51.11933808774797,350.77402978258056,0.5973372739702745,[155.60474028],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,50.3819,-4.1927,0.25,0.6557936287180808,[2.21579363],2021-07-18 06:45:00+00:00,199.28125,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-51.43217770671703,356.3576605055569,0.5985129273777219,[156.20576],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,50.3819,-4.1927,0.25,0.8279436289600017,[2.38794363],2021-07-18 07:00:00+00:00,199.29166666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-51.52262565365592,1.9850336322204005,0.5996882165012707,[156.80835346],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,50.3819,-4.1927,0.25,1.0194825633026654,[2.57948256],2021-07-18 07:15:00+00:00,199.30208333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-51.38940607872407,7.606321777026972,0.600863134010951,[157.41252412],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,50.3819,-4.1927,0.25,1.2260623891807296,[2.78606239],2021-07-18 07:30:00+00:00,199.3125,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-51.035327880566975,13.172204394443987,0.6020376726012918,[158.01827549],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,50.3819,-4.1927,0.25,1.4424187420161085,[3.00241874],2021-07-18 07:45:00+00:00,199.32291666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-50.46706236721463,18.637302418512363,0.6032118249209297,[158.62561106],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,50.3819,-4.1927,0.25,1.6625621401650013,[3.22256214],2021-07-18 08:00:00+00:00,199.33333333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-49.694621825096995,23.96297157568468,0.6043855836531743,[159.23453439],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,50.3819,-4.1927,0.25,1.8801592658080915,[3.44015927],2021-07-18 08:15:00+00:00,199.34375,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-48.73063314405231,29.11908434233615,0.605558941446213,[159.84504902],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,50.3819,-4.1927,0.25,2.0890587456405805,[3.64905875],2021-07-18 08:30:00+00:00,199.35416666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-47.589523544916,34.08469508512415,0.606731890942132,[160.45715852],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,50.3819,-4.1927,0.25,2.283872756226686,[3.84387276],2021-07-18 08:45:00+00:00,199.36458333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-46.286727564619476,38.8477232430644,0.607904424808137,[161.07086651],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
